Origin	Destination	Trip Duration
15	53	109.9
15	54	122.69
15	55	99.93
15	56	93.93
15	57	89.18
15	58	72.52
15	59	64.98
15	60	71.45
15	61	80.78
15	62	67.37
15	63	69.7
15	64	62.38
16	17	31.15
16	18	21.93
16	19	23.69
16	20	30.31
16	21	37.15
16	22	39.65
16	23	46.49
16	24	44.17
16	25	54.58
16	26	60.3
16	27	56.13
16	28	89.6
16	29	38.76
16	30	29.19
16	31	37.5
16	32	50.03
16	33	65.93
16	34	45.26
16	35	47.79
16	36	43.38
16	37	42.83
16	38	42.24
16	39	42.06
16	40	41.4
16	41	48.51
16	42	42.41
16	43	45.81
16	44	42.93
16	45	47.07
16	46	52.89
16	47	63.47
16	48	58.11
16	49	64.07
16	50	92.01
16	51	68.64
16	52	79.92
16	53	85.53
16	54	98.33
16	55	77.11
16	56	73.01
16	57	68.27
16	58	51.6
16	59	44.06
16	60	51.05
16	61	59.86
16	62	46.97
16	63	49.3
16	64	41.98
17	18	42.77
17	19	45.72
17	20	52.34
17	21	59.17
17	22	61.67
17	23	68.51
17	24	66.19
17	25	76.6
17	26	82.32
17	27	78.15
17	28	111.62
17	29	60.78
17	30	51.21
17	31	59.52
17	32	72.05
17	33	87.96
17	34	67.28
17	35	69.81
17	36	65.4
17	37	64.85
17	38	64.26
17	39	64.08
17	40	63.42
17	41	70.53
17	42	64.43
17	43	67.83
17	44	64.95
17	45	69.09
17	46	74.91
17	47	85.49
17	48	80.13
17	49	86.09
17	50	114.03
17	51	90.66
17	52	101.94
17	53	107.55
17	54	120.35
17	55	99.13
17	56	95.03
17	57	90.29
17	58	73.62
17	59	66.08
17	60	73.07
17	61	81.88
17	62	68.99
17	63	71.32
17	64	64.0
18	19	34.83
18	20	41.45
18	21	48.28
18	22	50.78
18	23	57.62
18	24	55.3
18	25	65.71
18	26	71.43
18	27	67.26
18	28	100.73
18	29	49.89
18	30	40.32
18	31	48.63
18	32	61.16
18	33	77.07
18	34	56.39
18	35	58.92
18	36	54.51
18	37	53.96
18	38	53.37
18	39	53.19
18	40	52.53
18	41	59.64
