Origin	Destination	Trip Duration
21	28	54.15
21	29	63.45
21	30	46.15
21	31	43.7
21	32	59.24
21	33	86.97
21	34	53.07
21	35	42.67
21	36	44.6
21	37	40.14
21	38	50.25
21	39	28.6
21	40	35.25
21	41	38.28
21	42	41.82
21	43	39.78
21	44	38.17
21	45	41.26
21	46	50.07
21	47	59.1
21	48	51.46
21	49	83.19
21	50	101.08
21	51	48.66
21	52	65.63
21	53	77.38
21	54	47.36
21	55	39.79
21	56	42.67
21	57	57.5
21	58	36.83
21	59	26.76
21	60	49.14
21	61	40.83
21	62	39.72
21	63	54.18
21	64	57.51
22	23	16.19
22	24	16.66
22	25	25.43
22	26	26.25
22	27	30.88
22	28	46.94
22	29	99.43
22	30	86.56
22	31	85.16
22	32	88.7
22	33	132.43
22	34	81.2
22	35	92.13
22	36	84.74
22	37	63.29
22	38	89.71
22	39	68.33
22	40	75.78
22	41	73.1
22	42	67.55
22	43	76.6
22	44	74.9
22	45	68.09
22	46	85.42
22	47	100.56
22	48	77.28
22	49	101.54
22	50	88.9
22	51	86.49
22	52	88.45
22	53	94.21
22	54	61.63
22	55	40.58
22	56	74.15
22	57	92.98
22	58	72.31
22	59	65.24
22	60	78.62
22	61	72.31
22	62	71.2
22	63	89.23
22	64	72.99
23	24	38.06
23	25	16.39
23	26	48.4
23	27	22.32
23	28	41.89
23	29	80.64
23	30	62.34
23	31	60.2
23	32	72.74
23	33	95.47
23	34	61.25
23	35	66.17
23	36	58.78
23	37	52.34
23	38	66.75
23	39	41.7
23	40	48.82
23	41	58.14
23	42	51.92
23	43	50.64
23	44	53.27
23	45	55.13
23	46	57.46
23	47	75.6
23	48	64.32
23	49	81.58
23	50	99.94
23	51	59.53
23	52	68.35
23	53	77.91
23	54	49.92
23	55	31.54
23	56	53.33
23	57	62.16
23	58	46.49
23	59	36.42
23	60	58.8
23	61	50.49
23	62	50.38
23	63	67.17
23	64	54.17
24	25	23.74
24	26	24.19
24	27	21.32
24	28	45.7
24	29	78.49
24	30	64.2
24	31	63.56
24	32	64.1
24	33	103.82
24	34	51.6
24	35	69.52
24	36	63.14
24	37	41.69
24	38	69.1
24	39	35.82
24	40	49.17
24	41	37.5
24	42	42.04
24	43	59.0
24	44	59.39
24	45	56.48
24	46	67.82
24	47	65.96
24	48	65.68
24	49	81.94
24	50	100.3
24	51	54.88
24	52	57.51
24	53	68.07
24	54	39.08
24	55	31.35
24	56	54.76
24	57	63.58
24	58	47.91
24	59	37.84
24	60	60.23
24	61	51.91
24	62	51.8
24	63	72.83
24	64	58.59
25	26	44.85
25	27	20.28
25	28	39.86
25	29	80.3
25	30	67.0
25	31	68.47
25	32	81.01
25	33	104.74
25	34	76.52
25	35	74.44
25	36	67.05
25	37	67.61
25	38	75.02
25	39	47.62
25	40	55.09
25	41	63.41
25	42	70.85
25	43	58.91
25	44	77.2
25	45	64.4
25	46	67.73
25	47	89.87
25	48	74.04
25	49	84.85
25	50	97.61
25	51	74.92
25	52	85.87
25	53	92.42
25	54	48.43
25	55	29.5
25	56	60.74
25	57	68.57
25	58	46.9
25	59	42.82
25	60	67.21
25	61	57.89
25	62	57.78
25	63	73.84
25	64	62.57
26	27	22.81
26	28	65.33
26	29	72.81
26	30	76.94
26	31	68.54
26	32	79.08
26	33	98.8
26	34	52.58
26	35	70.51
26	36	59.12
26	37	61.67
26	38	66.09
26	39	42.03
26	40	48.16
26	41	40.48
26	42	50.2
26	43	47.98
26	44	54.36
26	45	50.53
26	46	57.8
26	47	79.94
26	48	60.28
26	49	85.92
26	50	91.85
26	51	76.16
26	52	49.11
26	53	79.66
26	54	37.67
26	55	44.97
26	56	60.28
26	57	72.11
26	58	50.43
26	59	50.36
26	60	71.75
26	61	64.43
26	62	57.32
26	63	76.01
26	64	88.11
27	28	53.19
27	29	84.32
27	30	68.45
27	31	69.05
27	32	79.59
27	33	107.32
27	34	75.09
27	35	79.02
27	36	69.63
27	37	69.18
27	38	78.6
27	39	49.54
27	40	55.67
27	41	47.99
27	42	57.71
27	43	55.49
27	44	77.88
27	45	80.86
27	46	74.31
27	47	87.45
27	48	70.61
27	49	92.43
27	50	99.17
27	51	45.48
27	52	38.44
27	53	47.99
27	54	28.0
27	55	37.84
27	56	62.79
27	57	82.62
27	58	57.95
27	59	50.87
27	60	74.26
27	61	64.94
